row_number,word,meaning,gold,level,chunk1,chunk1_meaning,chunk2,chunk2_meaning,chunk3,chunk3_meaning,definition,definition_meaning,status,note,checked_at
53,accommodate,収容する,8,B2,accommodate three extra guests,追加の客3人を収容する,,,,,to provide space or a place for someone,誰かのための場所や空間を用意すること,,accommodate v.,
54,accommodation,収容能力,8,B2,comfortable accommodation near the station,駅の近くの快適な宿泊施設,,,,,a place where people can stay or live,人々が泊まったり住んだりできる場所,,accommodation n.,
55,accompany,付き添う,8,B2,accompany her to the station,彼女に付き添って駅まで行く,,,,,to go somewhere with someone,誰かと一緒にどこかへ行くこと,,accompany v.,
56,accomplice,共犯者,32,C2,his accomplice in the robbery,その強盗事件での彼の共犯者,,,,,someone who helps another person do wrong,他の人が悪いことをするのを助ける人,,accomplice (n),
57,accomplish,成し遂げる,8,B2,accomplish a difficult mission,難しい任務を成し遂げる,,,,,to finish or do something successfully,何かを成功して終える、または行うこと,,accomplish v.,
58,accomplishment,完成,16,C1,a remarkable accomplishment in science,科学におけるすばらしい業績,,,,,something good that someone has done successfully,誰かが成功して行った良いこと,,accomplishment n.,
59,according,〜によれば,2,A2,according to the report,その報告によれば,,,,,used to say where information comes from,情報がどこから来たかを言うために使う,,according prep.,
60,accordingly,応じて,16,C1,act accordingly after the warning,警告を受けてそれに応じて行動する,,,,,in a way that fits the situation,状況に合う方法で,,accordingly adv.,
61,accost,話しかける,32,C2,accost tourists in the street,路上で観光客に声をかける,,,,,to go up to someone and speak suddenly,誰かに近づいて突然話すこと,,accost (v),
62,account,会計、勘定、記述,4,B1,open a bank account,銀行口座を開く,give a detailed account of the accident,事故の詳細な説明をする,,,"a record, report, or place for money",記録・報告、またはお金を置く場所,,account n.,
63,accountability,説明責任,16,C1,accountability for public spending,公費支出に対する説明責任,,,,,the duty to explain your actions or decisions,自分の行動や決定を説明する義務,,accountability n.,
64,accountable,説明責任のある,16,C1,accountable for every decision,すべての決定に責任を負う,,,,,responsible for what you do or decide,自分の行動や決定に責任があること,,accountable adj.,
65,accountant,会計士,8,B2,a careful accountant at the firm,その会社の慎重な会計士,,,,,a person whose job is to manage money records,お金の記録を管理する仕事の人,,accountant n.,
66,accredit,認定する,32,C2,accredit the school officially,その学校を正式に認定する,,,,,to officially say that someone or something is good enough,人や物が十分よいと正式に認めること,,accredit (v),
67,accreditation,認定,32,C2,international accreditation for the program,そのプログラムの国際認定,,,,,official approval that something is good enough,何かが十分よいという正式な承認,,accreditation (n),
68,accrue,積み重なる,32,C2,benefits accrue over time,利益が時間とともに積み重なる,,,,,to slowly increase over time,時間とともに少しずつ増えること,,accrue (v),
69,accumulate,蓄積する,16,C1,accumulate evidence slowly,証拠を少しずつ集める,,,,,to collect more and more over time,時間とともにますます集めること,,accumulate v.,
70,accumulation,蓄積する,16,C1,the accumulation of small debts,小さな借金の蓄積,,,,,a large amount collected over time,時間をかけて集められた多くの量,,accumulation n.,
71,accuracy,正確さ,8,B2,improve the accuracy of the data,データの正確さを高める,,,,,the quality of being correct and without mistakes,正しく間違いがない性質,,accuracy n.,
72,accurate,正確な,8,B2,an accurate description of the event,その出来事の正確な説明,,,,,correct and without mistakes,正しく間違いがないこと,,accurate adj.,
73,accurately,正確に,8,B2,measure the distance accurately,距離を正確に測る,,,,,"in a correct way, without mistakes",間違いなく正しい方法で,,accurately adv.,
74,accusation,告発,16,C1,a serious accusation against the minister,その大臣に対する重大な告発,,,,,a statement that someone did something wrong,誰かが悪いことをしたという発言,,accusation n.,
75,accuse,責める,8,B2,accuse him of cheating,彼を不正行為で責める,,,,,to say that someone did something wrong,誰かが悪いことをしたと言うこと,,accuse v.,
76,accused,告発された,16,C1,the accused student in the case,その事件で告発された生徒,,,,,a person said to have done something wrong,悪いことをしたと言われている人,,accused n.,
77,acerbic,辛辣な,32,C2,an acerbic comment about the plan,その計画についての辛辣なコメント,,,,,sharp and unkind in speech or writing,話し方や書き方が鋭く不親切なこと,,acerbic (adj),
78,achieve,達成する,2,A2,achieve a long-term goal,長期目標を達成する,,,,,to succeed in doing something difficult,難しいことをするのに成功すること,,achieve v.,
79,achievement,達成,4,B1,a major achievement in medicine,医学における大きな業績,,,,,something important that someone has succeeded in doing,誰かが成功して行った重要なこと,,achievement n.,
80,acid,酸、酸っぱい,8,B2,acid in the stomach,胃の中の酸,an acid taste in the sauce,そのソースの酸っぱい味,,,a sour chemical that can sometimes burn things,時に物を焼くことがある酸っぱい化学物質,,acid n.,
81,acknowledge,認める,8,B2,acknowledge his mistake honestly,彼の間違いを正直に認める,,,,,to accept or say that something is true,何かが本当だと受け入れる、または言うこと,,acknowledge v.,
82,acquiesce,渋々受け入れる,32,C2,acquiesce in the final decision,最終決定をしぶしぶ受け入れる,,,,,to agree to something without really wanting to,本当は望まないが何かに同意すること,,acquiesce (v),
83,acquiescence,黙認,32,C2,silent acquiescence in the plan,その計画への黙認,,,,,"agreement without protest, often unwillingly",多くは不本意に抗議せず同意すること,,acquiescence (n),
84,acquire,(積極的に)手に入れる,8,B2,acquire practical language skills,実用的な語学力を身につける,,,,,to get or learn something over time,時間をかけて何かを得る、または学ぶこと,,acquire v.,
85,acquisition,獲得,16,C1,the acquisition of new knowledge,新しい知識の獲得,,,,,the act of getting or learning something,何かを得る、または学ぶ行為,,acquisition n.,
86,acquit,無罪を宣告する,32,C2,acquit the defendant of murder,被告人に殺人罪の無罪を言い渡す,,,,,to say in court that someone is not guilty,裁判で誰かが有罪ではないと言うこと,,acquit (v),
87,acre,エーカー(約4047㎡),8,B2,an acre of fertile land,1エーカーの肥沃な土地,,,,,a unit for measuring land area,土地の広さを測る単位,,acre n.,
88,acrimonious,辛辣な,32,C2,an acrimonious debate over taxes,税金をめぐるとげとげしい論争,,,,,angry and unkind in a discussion,話し合いで怒って不親切なこと,,acrimonious (adj),
89,acrimony,辛辣さ,32,C2,acrimony between the two leaders,2人の指導者の間の険悪さ,,,,,angry and unkind feeling between people,人々の間の怒りと不親切な感情,,acrimony (n),
90,across,〜を横切って,1,A1,walk across the bridge,橋を歩いて渡る,,,,,from one side to the other side,一方の側から反対側へ,,"across prep., adv.",
91,act,行動する、行為,2,A2,act with courage under pressure,重圧の中で勇気をもって行動する,a brave act of kindness,親切心からの勇敢な行為,,,to do something or behave in a certain way,何かをする、またはある方法でふるまうこと,,act v.,
92,action,行動,1,A1,quick action in an emergency,緊急時の素早い行動,,,,,something that someone does,誰かがすること,,action n.,
93,activate,活性化する,8,B2,activate the emergency alarm,非常警報を作動させる,,,,,to make something start working,何かを動き始めさせること,,activate v.,
94,activation,活性化,16,C1,activation of the immune system,免疫系の活性化,,,,,the act of making something start working,何かを動き始めさせる行為,,activation n.,
95,active,活発な,2,A2,an active role in the project,そのプロジェクトでの積極的な役割,,,,,doing things or moving a lot,多くのことをしている、またはよく動くこと,,active adj.,
96,activist,活動家,16,C1,a local activist for clean water,きれいな水を求める地元の活動家,,,,,someone who works to change society or politics,社会や政治を変えるために活動する人,,activist n.,
97,activity,活動,1,A1,,,,,,,"something that people do for work, study, or fun",仕事・勉強・楽しみのために人々がすること,,activity n.,
98,actor,俳優,1,A1,,,,,,,"a person who performs in plays, films, or shows",劇・映画・番組で演じる人,,actor n.,
99,actress,女優,1,A1,,,,,,,"a woman who performs in plays, films, or shows",劇・映画・番組で演じる女性,,actress n.,
100,actual,アクチュアル、実物、実勢,8,B2,,,,,,,,,,actual adj.,
101,actually,元来、現に、事実上,2,A2,,,,,,,,,,actually adv.,
102,acuity,鋭さ、鋭敏さ,32,C2,,,,,,,,,,acuity (n),
103,acumen,辣腕、洞察力,32,C2,,,,,,,,,,acumen (n),
104,acute,鋭敏、鋭利、深刻,16,C1,,,,,,,,,,acute adj.,
105,ad,紀元、西暦、災害割増特約,4,B1,,,,,,,,,,ad n.,
106,adage,格言、ことわざ,32,C2,,,,,,,,,,adage (n),
107,adamant,テコでも動かない、利かぬ,32,C2,,,,,,,,,,adamant (adj),
108,adapt,移設、作り替える、当てはめる,8,B2,,,,,,,,,,adapt v.,
109,adaptation,改作、脚色、順応,16,C1,,,,,,,,,,adaptation n.,
110,add,加える、足す,1,A1,,,,,,,,,,add v.,
111,addiction,常用癖、中毒、惑溺,8,B2,,,,,,,,,,addiction n.,
112,addition,加、加え算、加算,4,B1,,,,,,,,,,addition n.,
113,additional,追加的、番外、副,8,B2,,,,,,,,,,additional adj.,
114,additionally,事前後、殊に、付け加えると,8,B2,,,,,,,,,,additionally adv.,
115,address,住所、演説、対処する,1,A1,,,,,,,,,,address n.,
116,address,住所、演説、対処する,8,B2,,,,,,,,,,address v.,
117,adequate,十分、先ず先ず、相応,8,B2,,,,,,,,,,adequate adj.,
118,adequately,十分に、適切に,8,B2,,,,,,,,,,adequately adv.,
119,adhere,付く、着する,16,C1,,,,,,,,,,adhere v.,
120,adherence,固持、参加、遵行,32,C2,,,,,,,,,,adherence (n),
121,adherent,亜流、教徒、支持者,32,C2,,,,,,,,,,adherent (n),
122,adjacent,隣、隣接した、アジェイサント,16,C1,,,,,,,,,,adjacent adj.,
123,adjuration,懇願、厳命,32,C2,,,,,,,,,,adjuration (n),
124,adjust,整える、正す、繕う,8,B2,,,,,,,,,,adjust v.,
125,adjustment,加減、手直し、修整,16,C1,,,,,,,,,,adjustment n.,
126,administer,司る、盛る、投じる,16,C1,,,,,,,,,,administer v.,
127,administration,運営、監理、経営,4,B1,,,,,,,,,,administration n.,
128,administrative,事務的、経営上、管理上,16,C1,,,,,,,,,,administrative adj.,
129,administrator,為政者、運営者、管理人,16,C1,,,,,,,,,,administrator n.,
130,admire,哀れむ、愛でる、見上げる,4,B1,,,,,,,,,,admire v.,
131,admission,加入、自認、収容,16,C1,,,,,,,,,,admission n.,
132,admit,許す、入れる、認める,4,B1,,,,,,,,,,admit v.,
133,admittance,アドミタンス、アドミッタンス,32,C2,,,,,,,,,,admittance (n),
134,admonish,戒める、言い聞かす、言い聞かせる,32,C2,,,,,,,,,,admonish (v),
135,adolescent,青春,16,C1,,,,,,,,,,adolescent n.,
136,adopt,引き取る、汲み上げる、取り込む,8,B2,,,,,,,,,,adopt v.,
137,adoption,可決、採択、採用,16,C1,,,,,,,,,,adoption n.,
138,adroit,器用、巧み、鮮やか,32,C2,,,,,,,,,,adroit (adj),
139,adulation,阿諛、阿諛追従、佞弁,32,C2,,,,,,,,,,adulation (n),
140,adult,大人、大人の,1,A1,,,,,,,,,,adult n.,
141,adult,大人、大人の,2,A2,,,,,,,,,,adult adj.,
142,advance,押す、開ける、駆ける,8,B2,,,,,,,,,,"advance n., v., adj.",
143,advanced,高尚、高度、奥の深い,4,B1,,,,,,,,,,advanced adj.,
144,advantage,為、旨み、長所,2,A2,,,,,,,,,,advantage n.,
145,advent,降臨、到来、来臨,32,C2,,,,,,,,,,advent (n),
146,adventure,冒険、アドベンチャー,2,A2,,,,,,,,,,adventure n.,
147,adversary,反対者、敵、対戦相手,32,C2,,,,,,,,,,adversary (n),
148,adverse,疎ましい,16,C1,,,,,,,,,,adverse adj.,
149,adversity,逆境、失意、悲境,32,C2,,,,,,,,,,adversity (n),
150,advertise,広告する、宣伝する,2,A2,,,,,,,,,,advertise v.,
151,advertisement,広告、宣伝、募集,2,A2,,,,,,,,,,advertisement n.,
152,advertising,広告、宣伝、アドバタイジング,2,A2,,,,,,,,,,advertising n.,
153,advice,助言、アドバイス,1,A1,,,,,,,,,,advice n.,
154,advise,言い聞かす、言い聞かせる、申し聞かせる,4,B1,,,,,,,,,,advise v.,
155,advocate,唱える、説く、擁護,16,C1,,,,,,,,,,"advocate n., v.",
156,aegis,イージス,32,C2,,,,,,,,,,aegis (n),
157,aesthetic,耽美的、美的、美学的,16,C1,,,,,,,,,,aesthetic adj.,
158,affable,愛想の良い、温雅、人懐っこい,32,C2,,,,,,,,,,affable (adj),
159,affair,儀、局、件,8,B2,,,,,,,,,,affair n.,
160,affect,影響、影響を及ぼす、応える,2,A2,,,,,,,,,,affect v.,
161,affectation,伊達、気どり、虚飾,32,C2,,,,,,,,,,affectation (n),
162,affection,愛、愛情、恩情,16,C1,,,,,,,,,,affection n.,
163,affidavit,供述、供述書、口供,32,C2,,,,,,,,,,affidavit (n),
164,affinity,縁、姻戚、引力,32,C2,,,,,,,,,,affinity (n),
165,affliction,患難、苦渋、難儀,32,C2,,,,,,,,,,affliction (n),
166,afford,与える,4,B1,,,,,,,,,,afford v.,
167,affordable,お求め安い,8,B2,,,,,,,,,,affordable adj.,
168,afraid,恐れている、心配している,1,A1,,,,,,,,,,afraid adj.,
169,after,〜の後で,1,A1,,,,,,,,,,after prep.,
170,after,〜の後で、後に,2,A2,,,,,,,,,,"after conj., adv.",
171,aftermath,二番刈り、余波、落とし子,16,C1,,,,,,,,,,aftermath n.,
172,afternoon,午後,1,A1,,,,,,,,,,afternoon n.,
173,afterward,その後で,8,B2,,,,,,,,,,afterward adv.,
174,again,再び,1,A1,,,,,,,,,,again adv.,
175,against,に対して、に反して、対,2,A2,,,,,,,,,,against prep.,
176,age,年齢、時代,1,A1,,,,,,,,,,age n.,
177,age,年齢、時代,4,B1,,,,,,,,,,age v.,
178,aged,古い、老人、年取った,8,B2,,,,,,,,,,aged adj.,
179,agency,機関、出張所、代行機関,8,B2,,,,,,,,,,agency n.,
180,agenda,会議事項、議題、協議事項,8,B2,,,,,,,,,,agenda n.,
181,agent,剤、周旋人、出張員,4,B1,,,,,,,,,,agent n.,
182,aggression,火の手、攻勢、侵入,16,C1,,,,,,,,,,aggression n.,
183,aggressive,侵略的、積極的、攻撃的,8,B2,,,,,,,,,,aggressive adj.,
184,ago,〜前に,1,A1,,,,,,,,,,ago adv.,
185,agree,同意する,1,A1,,,,,,,,,,agree v.,
186,agreement,一致、規約、議定,4,B1,,,,,,,,,,agreement n.,
187,agricultural,野良、農山漁村、指定廃棄物,16,C1,,,,,,,,,,agricultural adj.,
188,agriculture,農、農学、農業,8,B2,,,,,,,,,,agriculture n.,
189,ah,嗚呼、あら、やれ,2,A2,,,,,,,,,,ah exclam.,
190,ahead,お先に、先に、前に,4,B1,,,,,,,,,,ahead adv.,
191,aid,羽翼、援助、応援,8,B2,,,,,,,,,,"aid n., v.",
192,aide,副官、補佐官、補佐人,16,C1,,,,,,,,,,aide n.,
193,AIDS,お陰、お蔭様、一助,8,B2,,,,,,,,,,AIDS n.,
194,aim,意図、為、志向,4,B1,,,,,,,,,,"aim v., n.",
195,air,空気、空中,1,A1,,,,,,,,,,air n.,
196,aircraft,航空機、飛行機、機,8,B2,,,,,,,,,,aircraft n.,
197,airline,エアライン,2,A2,,,,,,,,,,airline n.,
198,airport,空港,1,A1,,,,,,,,,,airport n.,
199,alacrity,敏活,32,C2,,,,,,,,,,alacrity (n),
200,alarm,警笛、警報、非常信号,4,B1,,,,,,,,,,alarm n.,
201,alarm,騒がせる、ギクッと、ギクリ,8,B2,,,,,,,,,,alarm v.,
202,albeit,〜ではあるが,32,C2,,,,,,,,,,albeit (conj),
203,album,曲集、アルバム,4,B1,,,,,,,,,,album n.,
204,alchemy,黄金術、錬金術、煉丹術,32,C2,,,,,,,,,,alchemy (n),
205,alcohol,酒、お酒、酒精,4,B1,,,,,,,,,,alcohol n.,
206,alcoholic,アルコール依存の、アルコール中毒者,4,B1,,,,,,,,,,alcoholic adj.,
207,alert,素早い、敏感、敏捷,16,C1,,,,,,,,,,"alert v., n., adj.",
208,alien,異星人、宇宙人、外国人,8,B2,,,,,,,,,,alien n.,
209,alien,縁遠い、異星人、宇宙人,16,C1,,,,,,,,,,alien adj.,
210,align,排する、排す、方向付ける,16,C1,,,,,,,,,,align v.,
211,alignment,位置合わせ、境界調整、照準,16,C1,,,,,,,,,,alignment n.,
212,alike,同じ、等しく,16,C1,,,,,,,,,,"alike adv., adj.",
213,alive,ライブ、アライブ,2,A2,,,,,,,,,,alive adj.,
214,all,すべての、全部,2,A2,,,,,,,,,,all adv.,
215,all,すべての、全部,2,A2,,,,,,,,,,all right adj./adv.,
216,all,全ての,1,A1,,,,,,,,,,"all det., pron.",
217,allegation,申し立て,16,C1,,,,,,,,,,allegation n.,
218,allege,主張する、申し立てる,16,C1,,,,,,,,,,allege v.,
219,allegedly,申し立てによれば,16,C1,,,,,,,,,,allegedly adv.,
220,allegiance,恭順、忠誠、忠節,32,C2,,,,,,,,,,allegiance (n),
221,allegory,寓話、例え、比喩,32,C2,,,,,,,,,,allegory (n),
222,alleviate,癒す,32,C2,,,,,,,,,,alleviate (v),
223,alliance,合従連衡、合体、提携,16,C1,,,,,,,,,,alliance n.,
224,allocate,宛がう、割り振る、割り当てる,16,C1,,,,,,,,,,allocate v.,
225,allocation,格付け、割り振り、割り当て額,16,C1,,,,,,,,,,allocation n.,
226,allow,許す、認める、差し許す,2,A2,,,,,,,,,,allow v.,
227,allowance,勘定、給付金、給与,16,C1,,,,,,,,,,allowance n.,
228,allude,それとなく言う、ほのめかす,32,C2,,,,,,,,,,allude (v),
229,allusion,言及、引喩、関説,32,C2,,,,,,,,,,allusion (n),
230,ally,協商国、協力者、同盟国,16,C1,,,,,,,,,,ally n.,
231,almost,軈て、危うく、すんでの事,2,A2,,,,,,,,,,almost adv.,
232,alone,煢然、孑然、泫然,2,A2,,,,,,,,,,alone adj./adv.,
233,along,に沿って、沿って、筋,2,A2,,,,,,,,,,"along prep., adv.",
234,alongside,伝い、並んで,8,B2,,,,,,,,,,alongside prep.,
235,aloof,疎い、超然、孤高,32,C2,,,,,,,,,,aloof (adj),
236,already,既に、最早、疾っくに,2,A2,,,,,,,,,,already adv.,
237,also,〜もまた,1,A1,,,,,,,,,,also adv.,
238,alter,違える、改める、作り替える,8,B2,,,,,,,,,,alter v.,
239,altercation,口論、言い争い,32,C2,,,,,,,,,,altercation (n),
240,alternative,択一的、選択的、オールターナティブ,4,B1,,,,,,,,,,alternative adj.,
241,alternative,択一的、代替、選択的,2,A2,,,,,,,,,,alternative n.,
242,although,一方、乍ら、尤も,2,A2,,,,,,,,,,although conj.,
243,altogether,悉く、諸に、軒並み,8,B2,,,,,,,,,,altogether adv.,
244,altruistic,利他的な,32,C2,,,,,,,,,,altruistic (adj),
245,aluminum,軽銀、アルミ、アルミニウム,16,C1,,,,,,,,,,aluminum n.,
246,always,いつも,1,A1,,,,,,,,,,always adv.,
247,amalgamation,合体、合同、併合,32,C2,,,,,,,,,,amalgamation (n),
248,amateur,生熟れ、素人、白人,16,C1,,,,,,,,,,"amateur adj., n.",
249,amazed,愕然,4,B1,,,,,,,,,,amazed adj.,
250,amazing,すごい,1,A1,,,,,,,,,,amazing adj.,
251,ambassador,使節、大使、アンバサダー,16,C1,,,,,,,,,,ambassador n.,
252,ambiguity,曖昧さ、多義性、あいまい性,32,C2,,,,,,,,,,ambiguity (n),
253,ambition,功名心、向上心、志,4,B1,,,,,,,,,,ambition n.,
254,ambitious,遠大、野心的、意欲的,8,B2,,,,,,,,,,ambitious adj.,
255,ambivalent,アンビバレント,32,C2,,,,,,,,,,ambivalent (adj),
256,ambrosial,非常においしい、芳香のある,32,C2,,,,,,,,,,ambrosial (adj),
257,ambulance,救急車、救急自動車、８ナンバー,8,B2,,,,,,,,,,ambulance n.,
258,ameliorate,改善する,32,C2,,,,,,,,,,ameliorate (v),
259,amenable,従順な、応じやすい,32,C2,,,,,,,,,,amenable (adj),
260,amend,正す、変える、アメンド,16,C1,,,,,,,,,,amend v.,
261,amendment,改正、改正案、修正,16,C1,,,,,,,,,,amendment n.,
262,amid,中,16,C1,,,,,,,,,,amid prep.,
263,among,間、中、中には,2,A2,,,,,,,,,,among prep.,
264,amount,位、価額、加減,2,A2,,,,,,,,,,amount n.,
265,amount,位、程度、分量,8,B2,,,,,,,,,,amount v.,
266,amusing,可笑しい、面白い、愉快,8,B2,,,,,,,,,,amusing adj.,
267,an,1つの,1,A1,,,,,,,,,,,
